,proposal_id,casuistic,num_addresses,total_amount_group,total_amount,percentage
0,233,Did not vote,178758,94741698.555679,103598595.852259,91.450755463
1,233,Voted,22453,8856897.29658,103598595.852259,8.549244537
0,333,Did not vote,238226,159231407.866219,171272040.858642,92.969878252
1,333,Voted,15788,12040632.992423,171272040.858642,7.030121748
0,99,Did not vote,33230,60754259.211596,67393690.553289,90.148289421
1,99,Voted,2359,6639431.341693,67393690.553289,9.851710579
0,107,Voted,3415,13926654.938078,69396873.252372,20.068130285
1,107,Did not vote,33225,55470218.314294,69396873.252372,79.931869715
0,319,Did not vote,226282,150045414.857273,160441501.907024,93.520325523
1,319,Voted,12716,10396087.049751,160441501.907024,6.479674477
0,31,Did not vote,12808,33510757.994566,37277356.006887,89.89574794
1,31,Voted,1071,3766598.012321,37277356.006887,10.10425206
0,212,Did not vote,159754,82869165.184036,93782775.805361,88.362883773
1,212,Voted,30815,10913610.621325,93782775.805361,11.637116227
0,197,Voted,33508,10051304.404749,95228169.313291,10.554969687
1,197,Did not vote,128673,85176864.908542,95228169.313291,89.445030313
0,368,Voted,27045,7884475.443573,180407231.650913,4.370376604
1,368,Did not vote,240777,172522756.20734,180407231.650913,95.629623396
0,372,Did not vote,244256,172211173.121645,180655410.009983,95.32577691
1,372,Voted,24294,8444236.888338,180655410.009983,4.67422309
0,345,Did not vote,243099,178890032.569415,187752132.836312,95.279893691
1,345,Voted,14907,8862101.267897,187752132.836312,4.720106842
0,354,Did not vote,236131,172988919.913524,184387661.923864,93.818055996
1,354,Voted,27861,11398742.01034,184387661.923864,6.181944004
0,7,Did not vote,6259,11088973.438165,13909167.477099,79.724206761
1,7,Voted,1566,2820194.038934,13909167.477099,20.275793239
0,188,Voted,36212,13076031.265191,94682997.163858,13.810326729
1,188,Did not vote,122181,81606965.898667,94682997.163858,86.189673271
0,441,Voted,42068,6638676.526499,187009756.072389,3.549909195
1,441,Did not vote,274955,180371079.54589,187009756.072389,96.450090805
0,133,Voted,5490,8694979.081408,85837338.89381,10.129600001
1,133,Did not vote,54398,77142359.812402,85837338.89381,89.870399999
0,50,Voted,1840,7311259.562484,48338312.709168,15.125185702
1,50,Did not vote,20784,41027053.146684,48338312.709168,84.874814298
0,327,Voted,18598,7921606.14035,168832522.382482,4.691990636
1,327,Did not vote,232487,160910916.242132,168832522.382482,95.308009364
0,363,Voted,20584,9001823.777875,184856154.171465,4.869637053
1,363,Did not vote,245448,175854330.39359,184856154.171465,95.130362947
0,381,Voted,19512,7144434.202817,182299718.371211,3.919059375
1,381,Did not vote,250081,175155284.168394,182299718.371211,96.080940625
