date,transactions
2023-07-10,410
2023-07-09,511
2023-07-08,467
2023-07-07,503
2023-07-06,2951
2023-07-05,545
2023-07-04,467
2023-07-03,564
2023-07-02,406
2023-07-01,571
2023-06-30,699
2023-06-29,527
2023-06-28,607
2023-06-27,704
2023-06-26,453
2023-06-25,543
2023-06-24,439
2023-06-23,479
2023-06-22,596
2023-06-21,553
2023-06-20,663
2023-06-19,674
2023-06-18,519
2023-06-17,548
2023-06-16,577
2023-06-15,589
2023-06-14,613
2023-06-13,641
2023-06-12,554
2023-06-11,672
2023-06-10,1176
2023-06-09,1041
2023-06-08,588
2023-06-07,823
2023-06-06,834
2023-06-05,817
2023-06-04,509
2023-06-03,650
2023-06-02,694
2023-06-01,639
2023-05-31,861
2023-05-30,650
2023-05-29,690
2023-05-28,809
2023-05-27,642
2023-05-26,674
2023-05-25,824
2023-05-24,843
2023-05-23,750
2023-05-22,629
2023-05-21,507
2023-05-20,478
2023-05-19,558
2023-05-18,555
2023-05-17,458
2023-05-16,573
2023-05-15,520
2023-05-14,589
2023-05-13,534
2023-05-12,621
2023-05-11,578
2023-05-10,569
2023-05-09,482
2023-05-08,456
2023-05-07,398
2023-05-06,526
2023-05-05,598
2023-05-04,491
2023-05-03,556
2023-05-02,423
2023-05-01,644
2023-04-30,548
2023-04-29,589
2023-04-28,490
2023-04-27,648
2023-04-26,449
2023-04-25,604
2023-04-24,563
2023-04-23,474
2023-04-22,505
2023-04-21,605
2023-04-20,555
2023-04-19,585
2023-04-18,488
2023-04-17,441
2023-04-16,601
2023-04-15,554
2023-04-14,639
2023-04-13,629
2023-04-12,506
2023-04-11,504
2023-04-10,537
2023-04-09,529
2023-04-08,682
2023-04-07,564
2023-04-06,512
2023-04-05,635
2023-04-04,705
2023-04-03,662
2023-04-02,476
2023-04-01,552
2023-03-31,693
2023-03-30,535
2023-03-29,571
2023-03-28,579
2023-03-27,407
2023-03-26,528
2023-03-25,500
2023-03-24,504
2023-03-23,566
2023-03-22,495
2023-03-21,589
2023-03-20,579
2023-03-19,649
2023-03-18,675
2023-03-17,640
2023-03-16,651
2023-03-15,894
2023-03-14,790
2023-03-13,815
2023-03-12,605
2023-03-11,1089
2023-03-10,786
2023-03-09,2746
2023-03-08,2400
2023-03-07,628
2023-03-06,576
2023-03-05,686
2023-03-04,761
2023-03-03,847
2023-03-02,620
2023-03-01,853
2023-02-28,753
2023-02-27,706
2023-02-26,675
2023-02-25,605
2023-02-24,718
2023-02-23,674
2023-02-22,714
2023-02-21,703
2023-02-20,938
2023-02-19,850
2023-02-18,857
2023-02-17,752
2023-02-16,1013
2023-02-15,663
2023-02-14,602
2023-02-13,628
2023-02-12,560
2023-02-11,537
2023-02-10,581
2023-02-09,529
2023-02-08,830
2023-02-07,1771
2023-02-06,768
2023-02-05,934
2023-02-04,895
2023-02-03,2096
2023-02-02,940
2023-02-01,697
2023-01-31,649
2023-01-30,1082
2023-01-29,924
2023-01-28,640
2023-01-27,719
2023-01-26,661
2023-01-25,678
2023-01-24,640
2023-01-23,909
2023-01-22,814
2023-01-21,723
2023-01-20,571
2023-01-19,557
2023-01-18,494
2023-01-17,542
2023-01-16,589
2023-01-15,684
2023-01-14,766
2023-01-13,618
2023-01-12,971
2023-01-11,430
2023-01-10,459
2023-01-09,623
2023-01-08,519
2023-01-07,526
2023-01-06,543
2023-01-05,456
2023-01-04,501
2023-01-03,468
2023-01-02,617
2023-01-01,468
2022-12-31,955
2022-12-30,781
2022-12-29,567
2022-12-28,690
2022-12-27,527
2022-12-26,489
2022-12-25,449
2022-12-24,679
2022-12-23,569
2022-12-22,675
2022-12-21,1018
2022-12-20,751
2022-12-19,733
2022-12-18,637
2022-12-17,589
2022-12-16,661
2022-12-15,564
2022-12-14,607
2022-12-13,796
2022-12-12,1150
2022-12-11,636
2022-12-10,609
2022-12-09,513
2022-12-08,512
2022-12-07,538
2022-12-06,567
2022-12-05,553
2022-12-04,629
2022-12-03,558
2022-12-02,570
2022-12-01,589
2022-11-30,555
2022-11-29,627
2022-11-28,693
2022-11-27,613
2022-11-26,614
2022-11-25,686
2022-11-24,768
2022-11-23,784
2022-11-22,609
2022-11-21,600
2022-11-20,589
2022-11-19,552
2022-11-18,523
2022-11-17,559
2022-11-16,525
2022-11-15,648
2022-11-14,620
2022-11-13,781
2022-11-12,686
2022-11-11,622
2022-11-10,744
2022-11-09,700
2022-11-08,892
2022-11-07,766
2022-11-06,734
2022-11-05,876
2022-11-04,1043
2022-11-03,724
2022-11-02,659
2022-11-01,664
2022-10-31,745
2022-10-30,853
2022-10-29,822
2022-10-28,991
2022-10-27,732
2022-10-26,725
2022-10-25,683
2022-10-24,728
2022-10-23,720
2022-10-22,690
2022-10-21,688
2022-10-20,702
2022-10-19,704
2022-10-18,751
2022-10-17,906
2022-10-16,826
2022-10-15,769
2022-10-14,723
2022-10-13,861
2022-10-12,840
2022-10-11,818
2022-10-10,809
2022-10-09,1069
2022-10-08,883
2022-10-07,1625
2022-10-06,1386
2022-10-05,1521
2022-10-04,1596
2022-10-03,762
2022-10-02,789
2022-10-01,940
2022-09-30,839
2022-09-29,179
2022-09-28,18
2022-09-27,3346
2022-09-26,7273
2022-09-25,6654
2022-09-24,6065
2022-09-23,6888
2022-09-22,6439
2022-09-21,5322
2022-09-20,6458
2022-09-19,8454
2022-09-18,8041
2022-09-17,9222
2022-09-16,6628
2022-09-15,6264
2022-09-14,5673
2022-09-13,6028
2022-09-12,5577
2022-09-11,6481
2022-09-10,14477
2022-09-09,28764
2022-09-08,16905
2022-09-07,16411
2022-09-06,11924
2022-09-05,6319
2022-09-04,4553
2022-09-03,3668
2022-09-02,3807
2022-09-01,3190
2022-08-31,3014
2022-08-30,4116
2022-08-29,8942
2022-08-28,4577
2022-08-27,4439
2022-08-26,4563
2022-08-25,5570
2022-08-24,4827
2022-08-23,4579
2022-08-22,3850
2022-08-21,4050
2022-08-20,4253
2022-08-19,4506
2022-08-18,6087
2022-08-17,5053
2022-08-16,5077
2022-08-15,5900
2022-08-14,4834
2022-08-13,4919
2022-08-12,4367
2022-08-11,5016
2022-08-10,4445
2022-08-09,3379
2022-08-08,3926
2022-08-07,4454
2022-08-06,4283
2022-08-05,3302
2022-08-04,1726
2022-08-03,1648
2022-08-02,1513
2022-08-01,2141
2022-07-31,3086
2022-07-30,3154
2022-07-29,3471
2022-07-28,3282
2022-07-27,3149
2022-07-26,2774
2022-07-25,3146
2022-07-24,2114
2022-07-23,3429
2022-07-22,3333
2022-07-21,3458
2022-07-20,4111
2022-07-19,3708
2022-07-18,3852
2022-07-17,3405
2022-07-16,3388
2022-07-15,6181
2022-07-14,5895
2022-07-13,4524
2022-07-12,4862
2022-07-11,5274
2022-07-10,4828
2022-07-09,4596
2022-07-08,4806
2022-07-07,6329
2022-07-06,6879
2022-07-05,6466
2022-07-04,6816
2022-07-03,7728
2022-07-02,7540
2022-07-01,7739
2022-06-30,8046
2022-06-29,7310
2022-06-28,7991
2022-06-27,7102
2022-06-26,8791
2022-06-25,6795
2022-06-24,6809
2022-06-23,7890
2022-06-22,7485
2022-06-21,7846
2022-06-20,8020
2022-06-19,8211
2022-06-18,6938
2022-06-17,6125
2022-06-16,8156
2022-06-15,8749
2022-06-14,5614
2022-06-13,8360
2022-06-12,3207
2022-06-11,11
2022-06-10,33
2022-06-09,133
2022-06-08,784
2022-06-07,6500
2022-06-06,8370
2022-06-05,6089
2022-06-04,5510
2022-06-03,5973
2022-06-02,6995
2022-06-01,6853
