date,transactions
2023-07-10,491107
2023-07-09,585476
2023-07-08,584421
2023-07-07,578863
2023-07-06,586920
2023-07-05,581989
2023-07-04,583403
2023-07-03,582268
2023-07-02,579473
2023-07-01,578373
2023-06-30,582741
2023-06-29,575465
2023-06-28,583370
2023-06-27,590812
2023-06-26,589350
2023-06-25,577536
2023-06-24,580014
2023-06-23,583055
2023-06-22,578313
2023-06-21,577955
2023-06-20,578611
2023-06-19,578531
2023-06-18,576589
2023-06-17,582774
2023-06-16,576883
2023-06-15,566347
2023-06-14,550739
2023-06-13,585323
2023-06-12,587646
2023-06-11,584266
2023-06-10,581827
2023-06-09,573323
2023-06-08,549022
2023-06-07,579904
2023-06-06,579115
2023-06-05,579549
2023-06-04,585155
2023-06-03,584912
2023-06-02,580256
2023-06-01,578809
2023-05-31,577631
2023-05-30,571405
2023-05-29,567797
2023-05-28,568873
2023-05-27,576711
2023-05-26,581843
2023-05-25,577385
2023-05-24,581750
2023-05-23,579399
2023-05-22,572967
2023-05-21,577208
2023-05-20,577104
2023-05-19,577998
2023-05-18,577782
2023-05-17,575001
2023-05-16,574189
2023-05-15,558487
2023-05-14,578497
2023-05-13,577282
2023-05-12,563714
2023-05-11,565218
2023-05-10,566212
2023-05-09,568904
2023-05-08,563634
2023-05-07,562932
2023-05-06,565850
2023-05-05,564719
2023-05-04,551599
2023-05-03,565913
2023-05-02,566496
2023-05-01,570806
2023-04-30,571747
2023-04-29,574944
2023-04-28,571300
2023-04-27,567347
2023-04-26,566989
2023-04-25,571461
2023-04-24,563780
2023-04-23,563779
2023-04-22,565292
2023-04-21,562557
2023-04-20,561219
2023-04-19,568551
2023-04-18,575580
2023-04-17,569258
2023-04-16,570721
2023-04-15,561987
2023-04-14,556725
2023-04-13,556568
2023-04-12,549373
2023-04-11,550150
2023-04-10,568270
2023-04-09,571705
2023-04-08,571281
2023-04-07,567189
2023-04-06,563457
2023-04-05,554685
2023-04-04,579241
2023-04-03,572322
2023-04-02,568375
2023-04-01,573944
2023-03-31,570705
2023-03-30,564989
2023-03-29,565061
2023-03-28,560824
2023-03-27,546640
2023-03-26,537597
2023-03-25,541222
2023-03-24,547926
2023-03-23,550443
2023-03-22,541727
2023-03-21,525555
2023-03-20,564614
2023-03-19,596894
2023-03-18,599429
2023-03-17,609502
2023-03-16,603567
2023-03-15,608160
2023-03-14,592781
2023-03-13,594570
2023-03-12,592596
2023-03-11,599614
2023-03-10,604822
2023-03-09,613827
2023-03-08,602614
2023-03-07,589679
2023-03-06,593577
2023-03-05,599656
2023-03-04,596895
2023-03-03,603453
2023-03-02,608640
2023-03-01,595516
2023-02-28,580070
2023-02-27,593279
2023-02-26,578561
2023-02-25,581403
2023-02-24,574037
2023-02-23,576523
2023-02-22,572601
2023-02-21,598868
2023-02-20,597868
2023-02-19,600597
2023-02-18,622846
2023-02-17,676550
2023-02-16,669674
2023-02-15,531786
2023-02-14,540121
2023-02-13,561555
2023-02-12,485343
2023-02-11,506476
2023-02-10,605537
2023-02-09,602371
2023-02-08,795024
2023-02-07,802694
2023-02-06,794745
2023-02-05,753559
2023-02-04,788642
2023-02-03,821421
2023-02-02,843086
2023-02-01,863360
2023-01-31,867283
2023-01-30,870363
2023-01-29,874362
2023-01-28,873438
2023-01-27,865409
2023-01-26,832992
2023-01-25,851641
2023-01-24,861476
2023-01-23,865874
2023-01-22,850435
2023-01-21,853053
2023-01-20,842350
2023-01-19,855829
2023-01-18,852698
2023-01-17,850197
2023-01-16,841759
